"X" "Y" "red3_sm" "red3_sv" "red7var_sm" "red7var_sv" "green3_sm" "green3_sv" "green7var_sm" "green7var_sv" "blue3_sm" "blue3_sv" "blue7var_sm" "blue7var_sv" "area_sm" "area_sv" "perimeter_sm" "perimeter_sv" "orientation_sm" "orientation_sv" "red_sm" "red_sv" "blue_sm" "blue_sv" "green_sm" "green_sv" "variance_red_sm" "variance_red_sv" "variance_blue_sm" "variance_blue_sv" "variance_green_sm" "variance_green_sv" "intensity_sm" "intensity_sv" "red3_gm" "red3_gv" "red7var_gm" "red7var_gv" "green3_gm" "green3_gv" "green7var_gm" "green7var_gv" "blue3_gm" "blue3_gv" "blue7var_gm" "blue7var_gv" "area_gm" "area_gv" "perimeter_gm" "perimeter_gv" "orientation_gm" "orientation_gv" "red_gm" "red_gv" "blue_gm" "blue_gv" "green_gm" "green_gv" "variance_red_gm" "variance_red_gv" "variance_blue_gm" "variance_blue_gv" "variance_green_gm" "variance_green_gv" "intensity_gm" "intensity_gv" "red3_rm" "red7var_rm" "green3_rm" "green7var_rm" "blue3_rm" "blue7var_rm" "area_rm" "perimeter_rm" "orientation_rm" "red_rm" "blue_rm" "green_rm" "variance_red_rm" "variance_blue_rm" "variance_green_rm" "intensity_rm" "t" "nt" "sample"
"1" -1.74721697001339 -1.75761814864722 -3.53430778483676 7.54041120765693 -0.528215287169333 14.9768433082866 2.88018452301164 30.3481250474855 2.80014422065238 5.13517308731228 -3.20686368853161 0.384241346345355 0.42358270071974 0.27041314606504 -3.61112525636813 12.5294610149888 -2.7914614483315 12.8823270291284 0.0559210326834458 -0.0227291905271771 -0.602281385813369 12.589093972431 -1.05288800257905 12.9580985457473 0.636368348619827 -0.130035136003671 0.257653574338431 39.0734201046915 -0.277659416662387 0.352266359352539 1.21272461466181 13.1891584126599 -7.45263668293384 1.32269717351082 0.207745371349191 0.295290350168154 -0.689995961552614 -1.36131784784899 -0.511906546682238 6.12108621106269 -0.283729482569372 12.303184707611 0.0691382622994903 9.74962789729659 -0.769711793568705 1.08103826455629 -1.01784565400461 -0.823840156103144 -1.22114340346304 -0.283419676995322 0.114952165241116 14.8580456260987 -0.466885856369816 4.12063124925725 -0.498002725265821 6.02067042161635 -0.687894931666868 2.9708615849103 1.00910559675004 6.98507457889445 -0.287040887086586 3.23066109166852 -0.832303828262405 3.34815731583084 0.751275107500134 2.09423048177833 -3.09355262815771 0.296678624143552 2.98853865010116 1.53548622567045 -2.54389633008873 0.80164634614726 0.221087695713623 -0.124448209033448 1.71185129934178 0.0869403071229676 -0.242654071134269 0.83117693816245 -0.413338598723841 -0.23294742946085 0.937674734403514 -1.53589664569095 0 2 "sample_D"
"5" -1.60794028954102 -1.75761814864722 -3.09981337380062 -0.17430673854582 0.294754591376377 2.37706875313596 2.3189017938214 1.47719865076954 2.67657483597278 1.16298375656147 -2.75017842797437 1.17182585230279 0.347681519987127 1.04003948463454 -1.65857869242721 3.31017375863943 -1.40514144796707 2.78977033799982 0.48246338345986 2.01482526328655 0.787409021412541 8.87255239164433 0.644688953057874 13.1031481582742 1.95650550877177 5.64692399966655 1.00918607276257 19.3615629282093 0.639887941186074 14.7459114426606 1.79464566833197 8.96104434174984 -4.13107350716882 0.454599809633947 0.210579118396889 -0.691583310458107 -0.419294242476073 -1.17682118292489 -0.437291821812556 4.74578519090852 -0.396689074762057 3.09801685708944 0.103807972595785 8.0868052485396 -0.244313196727315 -0.544601742967666 -1.19010411424609 -0.808532174224658 -1.41882816420528 -0.200191933854955 0.684735503789024 6.53344541214515 -0.909006749484604 1.54684426199962 -0.348925118999317 2.82444633616264 -0.841153572998682 1.45318854275816 1.11642376297399 5.63567083691705 -0.465442339277882 2.17136316854836 -1.15240355011804 1.4735746865461 0.884888368377981 0.323783554338455 -1.00018878450296 1.74243026332319 1.20058141324622 2.51722380024349 -0.573561396569635 1.66887983051739 0.764890016731004 1.67080962900348 1.66946938776765 -1.05133147533704 -1.14559024200128 -0.593098153410013 0.730453570548218 -0.567208311602149 -0.114220282561648 -1.53589664569095 0 2 "sample_D"
"6" -1.57312111942292 -1.75761814864722 -3.03261432616365 -0.133802945455406 0.189398027473641 2.27083933003076 2.13159305376183 1.00915098398259 2.56183848454924 0.836275156012793 -2.65707595270227 0.722045912373255 0.274642758080304 1.31177788619282 -1.68898796278675 3.54854542471759 -1.42162883979611 2.9946977839927 0.50418235850134 1.83634237621911 1.06240713727856 9.71872806184801 0.976266254801122 15.0323104428367 2.23018088372279 6.53778990105766 1.14701402025617 18.4060240379431 0.804297209374707 15.1602422496643 1.88893695415609 9.17770961189114 -3.66655554933631 0.837687985507092 0.261581009083385 -0.868054984972073 -0.275140934510851 -1.21035947437937 -0.385892469950027 3.44952004428544 -0.362602420244697 2.16120476592742 0.0873816116191475 7.11626799029066 -0.00846046817819133 -0.555507306315637 -1.25841859859143 -0.826786435919709 -1.43242273236693 -0.265636881975721 0.861006129967006 3.93158832387689 -1.06611675179345 0.513537913886837 -0.27914879224983 2.01267764732174 -0.881226956441559 1.33591336771421 1.11906758611301 4.84817429681399 -0.499477326991768 1.99852602803841 -1.24334796529545 0.860806133262738 0.97184467295934 -0.170178830289161 -2.64492783729761 -0.845608079216765 2.45696667217015 1.10650363856899 -2.86333688604951 -0.782170608461746 -0.572143964580304 -0.748378878155215 1.76260924230742 2.00779113090413 1.8742389646694 2.85852222424445 1.1406430416048 1.49180016688038 2.16560015812223 -1.21147625329873 0 5 "sample_D"
"7" -1.53830194930483 -1.75761814864722 -2.97518215808056 0.0148198566746233 0.0312435352195511 2.27873793014287 1.96611253740438 0.92537253576367 2.41156563403524 0.609945750188445 -2.58176434016505 0.337703976019527 0.178653173955986 1.48527705631022 -1.79471486253616 3.85245902537504 -1.4873007529786 3.36768452390122 0.482941863071007 1.52237116936725 1.30499483418622 10.861821947475 1.26024102651994 15.1902772812526 2.46706292787792 7.08870044641721 1.26576030401265 17.9927544383145 0.949645429793483 14.8520741741639 1.96496875458852 9.58120217499562 -3.42955397102992 1.36658317284664 0.320044837108337 -0.908492561664494 -0.179639910172917 -1.3164205265237 -0.319236784800825 2.19268070901441 -0.321971467098225 1.41461461740133 0.0979108935963689 6.1668328600408 0.256758930047192 -0.413100580458273 -1.32550030881709 -0.855157612753873 -1.40074696854676 -0.360211666623124 1.04109446800425 1.68640755033933 -1.11475168127551 0.0570810429125843 -0.187945739091388 1.50532770936189 -0.907109456676051 1.32307396033404 1.08808789321309 4.096978522731 -0.51661500518318 2.15446567479772 -1.32626875556492 0.362528744949944 1.10354537723477 -0.288414886308345 -1.69611280199812 -1.49256381307216 0.586855482428773 -0.0275267767811845 -1.27642078452501 -1.17934025338226 -1.07314301726555 -1.21642572011228 0.16224563403653 1.92319950759496 1.76907731592798 2.67834999659771 1.11979366880689 1.33624857347953 1.77554853191683 -0.887055860906515 0 6 "sample_D"
"8" -1.50348277918673 -1.75761814864722 -2.92556793401571 0.26703924772249 -0.141054872236324 2.2930064651746 1.84222992769081 0.974989029466999 2.2308584345832 0.442105981517235 -2.52685714597464 0.0813510496865136 0.0666203704428208 1.60906900867157 -1.92005498436245 4.16126358746762 -1.55572704704029 3.79899095647796 0.418012615456373 1.19817318747015 1.50826836874319 12.0684535332177 1.48676188682338 14.7511569306702 2.65621114579811 7.46423665374777 1.36308452373657 17.7921051243948 1.07493176135509 14.3952902944964 2.02322212434499 10.036336583838 -3.42394167727568 1.96532724821984 0.409964721812319 -0.78706535500874 -0.14874930377534 -1.22518030902715 -0.24771277053409 1.23422776400439 -0.314451914830904 0.892028790285346 0.0904865921295029 5.3416217097918 0.470429064199167 -0.212200939467106 -1.35227044097853 -0.870052914527865 -1.37090546674717 -0.425025380982683 1.1215422872636 0.162250827768728 -1.05253485388026 -0.145522502429622 -0.0935371421149552 1.38450311786757 -0.914613629398082 1.33107393942521 1.18004333450799 3.73471636445551 -0.266823923435622 2.84004657023245 -1.43720998962709 0.103772357252956 1.26447670603925 -0.1166307984076 -1.65038325983065 -0.749887903969015 1.08501677823476 0.751585824439911 -1.70952560049892 -0.6885527884678 0.332248286556784 -0.0642967760416518 -1.3842338918207 1.34195475702049 1.12248302017057 1.80411765795201 0.81753272881444 0.756277266076854 1.08788238239901 -1.04926605710262 0 5 "sample_D"
"9" -1.46866360906864 -1.75761814864722 -2.88296523557488 0.525688094433789 -0.298897170148598 2.29709039165017 1.77123128048073 1.01900372901088 2.02838887628887 0.309993914334075 -2.49121369989622 -0.0559774129134303 -0.0495951938869367 1.71581054385731 -2.03032273407489 4.46848851446734 -1.59921415487738 4.21461555405715 0.312559246461728 0.928203917159849 1.66163151889324 13.1030326364187 1.64536993605805 14.5286938133401 2.78697443111223 7.78355712920596 1.43238424708011 17.5893328767618 1.17588243775722 14.1400158772626 2.0643777055452 10.4400455519549 -3.60171889628472 2.55383038254719 0.515044161213907 -0.502382804074656 -0.186992545832588 -0.958901774901567 -0.177707557167925 0.653240081470067 -0.346994929184096 0.719488565486273 0.0869233394474858 4.66073279266162 0.607956637716875 -0.0958522758115527 -1.31108932171523 -0.901335881571314 -1.37848702066087 -0.451982082244984 1.13477721578681 -0.552450635548452 -0.826208541958431 -0.278872427542625 0.00265244422558124 1.54984189256624 -0.88674764041798 1.39354638181629 1.2945958236249 3.82142363799733 -0.0718820046378008 3.9440459974875 -1.57122797637418 0.119117376994982 1.42328421315751 0.206793464775516 -0.977332302508617 0.404222633157091 1.23461360526087 1.25148497816631 -1.02702416916383 0.0736384135457474 0.172687069404156 -0.00147770028461294 -1.44267180399327 1.40197689382095 1.23456762373197 1.99814152593797 0.9273744242008 0.956412780030297 1.44290565292984 -0.724845664710407 0 8 "sample_D"
"10" -1.43384443895054 -1.75761814864722 -2.84786453771204 0.677327884615438 -0.423685598627803 2.24748552153972 1.75311877196027 0.99547815684147 1.8155925793208 0.203533127184608 -2.46986348114458 -0.114917091664935 -0.154253188184878 1.81213750740205 -2.10568965657484 4.61294607679048 -1.61053229157001 4.43670557721717 0.173681819642168 0.723249814520827 1.75168450322753 13.7784981732363 1.72707140425975 14.8400522076127 2.85073124846952 8.08367861317484 1.4626179074897 17.2369340467854 1.24559042258945 14.2048983813239 2.08951504219128 10.7347806266072 -3.85872657813259 3.08336412818271 0.617930016545597 -0.146034383999041 -0.296773072908649 -0.846818404741615 -0.100364940946017 0.341993497467097 -0.379011052583057 0.704692553609176 0.0921928936326317 4.11191943555016 0.648096412404743 -0.156436611227624 -1.19358479604955 -0.741768684182363 -1.40817026495088 -0.426387816612176 1.19959324390562 -0.737413333958732 -0.521879588931999 -0.0926514983338944 0.0867223547641386 1.71539709355597 -0.83938998572986 1.56125125159527 1.35521550090496 3.99125926013674 -0.0624010741058722 5.08644682611013 -1.65861998908511 0.251356166791128 1.62724438461475 0.596684912039513 -2.06407742010866 1.28305797492145 2.1680550846415 1.97830399892085 -1.93071299976133 1.11529418867115 1.44303731722671 1.19910861234533 -2.36504574650501 -0.590877481883966 -0.905769705239913 -0.150416930153873 -0.34713321599135 -0.654392369286189 0.334268374541397 -1.21147625329873 0 4 "sample_D"
"11" -1.39902526883245 -1.75761814864722 -2.82203449859108 0.679278603315251 -0.50587400294992 2.11095090396865 1.77859001599335 0.91226420882087 1.60566683124778 0.119049163170156 -2.45583712249671 -0.134437453255964 -0.229814554356082 1.88514495589834 -2.14551906107019 4.426177134701 -1.60204357022828 4.3104327486853 0.0110614832207719 0.566553131420311 1.76457879172117 14.0135566908533 1.72609036662042 15.6372709174692 2.84168237606989 8.3379813778682 1.4411408822883 16.7375122979853 1.27612349570266 14.5422427247328 2.09958761544304 10.9113016900397 -4.05665217890954 3.55489936948728 0.718888300941845 0.117260928119929 -0.474419852260527 -1.02644405402011 -0.00782829886832512 0.202823471395502 -0.411115961723356 0.483185965849694 0.104356532046709 3.73488163604241 0.632979255205511 -0.300946579299811 -1.08717635198738 -0.64227640471044 -1.35517213809212 -0.356064511337977 1.27855925849334 -0.798246392575187 -0.222167886861056 0.228144099560895 0.198046285281326 1.61790590714704 -0.757140907973643 1.70379798718715 1.35538560726248 3.81781043190437 -0.076704901753493 5.87740842949056 -1.7381517894091 0.0609120787727055 1.85192721256813 1.02245684826864 -0.906367124884533 1.05472602640065 1.34123573875359 1.76481428279372 -1.03636546625912 0.74138077313768 -0.422287261748262 -0.114029596524937 -0.281787640256063 0.81710693788498 0.620887269235682 1.26840539517518 1.02784595749441 0.817021602999524 1.25476099692802 -0.238215076122081 0 10 "sample_D"
"14" -1.29456775847817 -1.75761814864722 -2.8009546917735 0.335656943057189 -0.503517940619979 1.91975141029034 1.95489629343328 0.690821098194247 1.11141667320419 -0.0223876918740532 -2.38715529351055 -0.12395159048733 -0.152406499290115 1.78512816170247 -2.30310079557688 3.46279766384058 -1.71496016182869 3.32019181891709 -0.51618411720171 0.211027810907244 1.29693385814056 12.962617918928 1.27342857781083 18.2117625022678 2.39280969251349 8.4080511127778 1.02381540464774 14.8871818337098 1.09519536903298 15.6953741595643 2.03667298406374 11.0444836747174 -3.17583582176713 5.09731061418808 1.04456603456095 -0.058658424986901 -0.656552121376794 -1.40356947522508 0.288080706038999 1.48518763699496 -0.482829276088048 -0.852605508297149 0.00921390402049713 3.90786201093408 0.964286268814933 -0.0677920041989592 -0.946801651412381 -0.793117861443471 -0.844734808348042 -0.404141698100404 1.52463946106497 -0.990690219311491 0.620384157833754 0.390815786373609 0.409776096312764 1.82362869565549 -0.576498930117007 0.633772056400655 1.29587595282509 1.90916246281775 0.0907559427902622 5.58755455734109 -1.7484455535009 0.275049437386121 2.60697864250065 2.03895858862953 -5.57318227498986 -1.65163493395993 5.33911318898559 1.72091260655197 -5.77602862298952 -0.556959333228336 -1.02565435785072 -1.27992463248822 -2.18312967356394 2.07820952548959 2.1300709882397 2.39529034451586 2.00102076026797 2.00111669778243 1.55417600106188 -1.69810684188706 0 1 "sample_D"
"15" -1.25974858836007 -1.75761814864722 -2.78305450986878 0.304510022596534 -0.436368758065711 2.09445946419397 1.98153088384194 0.667528030278637 1.01139983068345 -0.0405764946862427 -2.32597572879054 -0.123106077249542 -0.0220814077826437 1.60723483643358 -2.40755965386567 3.43893410180451 -1.82371934753799 3.23868381985157 -0.672007475150732 0.120550069796868 1.02880988828427 12.4749417459449 1.04233426204721 18.3291133055783 2.14742617058101 8.14519250444088 0.814866783309936 14.369135663143 0.963462360136942 15.6770795734062 1.98003741132683 11.030488483162 -2.32726880548222 5.79946899167742 1.16490445564605 -0.108855517297986 -0.480152081675112 -0.983393896680476 0.382592239679946 2.06620887389807 -0.498063507183798 -0.656547783187752 -0.00179124388139377 3.829354591353 1.18769186161529 0.278580480993293 -0.98389069473498 -0.638646812089941 -0.855157927063607 -0.465006311914757 1.56590233654458 -0.74039052548946 0.70888020363555 0.392259178615959 0.434395090689384 2.89180956237006 -0.494902215065438 0.153431901574716 1.28181926923309 1.53742789077825 0.119361813428852 5.06378330595605 -1.73438981282345 1.42294846077116 2.84192306008397 1.93573874659478 -1.67620545979465 0.852227655874446 1.99092476609715 1.70954524286655 -1.64203048372285 0.722052530687635 1.28643653657079 1.06195268877822 -0.118231330051636 0.249702618113894 0.0483167033708581 0.68047735452484 -0.108650723673066 -0.0731171174507978 0.584632175573143 -0.724845664710407 0 7 "sample_D"
