"X" "Y" "red3_sm" "red3_sv" "red7var_sm" "red7var_sv" "green3_sm" "green3_sv" "green7var_sm" "green7var_sv" "blue3_sm" "blue3_sv" "blue7var_sm" "blue7var_sv" "area_sm" "area_sv" "perimeter_sm" "perimeter_sv" "orientation_sm" "orientation_sv" "red_sm" "red_sv" "blue_sm" "blue_sv" "green_sm" "green_sv" "variance_red_sm" "variance_red_sv" "variance_blue_sm" "variance_blue_sv" "variance_green_sm" "variance_green_sv" "intensity_sm" "intensity_sv" "red3_gm" "red3_gv" "red7var_gm" "red7var_gv" "green3_gm" "green3_gv" "green7var_gm" "green7var_gv" "blue3_gm" "blue3_gv" "blue7var_gm" "blue7var_gv" "area_gm" "area_gv" "perimeter_gm" "perimeter_gv" "orientation_gm" "orientation_gv" "red_gm" "red_gv" "blue_gm" "blue_gv" "green_gm" "green_gv" "variance_red_gm" "variance_red_gv" "variance_blue_gm" "variance_blue_gv" "variance_green_gm" "variance_green_gv" "intensity_gm" "intensity_gv" "red3_rm" "red7var_rm" "green3_rm" "green7var_rm" "blue3_rm" "blue7var_rm" "area_rm" "perimeter_rm" "orientation_rm" "red_rm" "blue_rm" "green_rm" "variance_red_rm" "variance_blue_rm" "variance_green_rm" "intensity_rm" "t" "nt" "sample"
"1" -1.74721697001339 -1.75761814864722 -3.48887931154188 3.26186695714892 0.110090786584631 18.9579685833007 2.63075299853566 42.2066576285817 2.32904928692854 40.2508497599406 -3.15955845141439 -0.0624126603232533 0.432635322713845 18.381752397844 -2.72710959269089 14.4223960771961 -2.74710044310294 12.07925192632 -0.592437250342472 1.01892917895969 0.678155171091811 32.1494071103211 -0.378520738061606 25.8826344423463 -0.18995402869896 24.1306715620941 1.21937404571073 6.74492602349137 0.599402514552559 7.98012756051908 0.603171600906737 34.6927242669049 -6.21360976462738 7.05806855490475 -0.0562375425782646 1.71343932543459 -0.640204268392269 -1.23283745020896 -0.352884897533804 2.18302809006578 -0.283171238896454 -0.374496368800445 0.105013610800066 4.83909261372094 -0.845470275935087 -0.302674257787995 -0.766090705341465 -0.946674265253227 -0.821062743044119 -0.702821376717348 0.198966981308358 9.75389460218598 -0.649087590089337 -0.449509549984401 -0.564771829808589 -0.395222963390086 -0.442976275679125 -1.39665849044845 0.435839342187629 9.61412052459887 -1.05434563751963 9.98049920025104 -0.7511172369973 -1.13111898957544 0.506943352789432 0.0780437001348279 -3.09355262815771 0.296678624143552 2.98853865010116 1.53548622567045 -2.54389633008873 0.80164634614726 0.221087695713623 -0.124448209033448 1.71185129934178 0.0869403071229676 -0.242654071134269 0.83117693816245 -0.413338598723841 -0.23294742946085 0.937674734403514 -1.53589664569095 0 2 "sample_D"
"5" -1.60794028954102 -1.75761814864722 -3.00397000000506 -0.18157704746152 0.802281149321151 4.24088787391041 2.28474877053019 6.08640469547079 2.71023117323737 14.4055948224892 -2.55125232691126 -0.109769122860159 0.759125328339074 4.16134543405813 -1.94391546964268 1.6040288974278 -1.80989198393726 1.54510925010329 1.23680110997879 6.73954555401024 0.504049821927573 1.16195067288053 0.0999189470956796 2.27170661873299 0.734073285322204 3.42534457955307 1.01504785549193 0.155358513059522 0.220413184305334 0.161081076859181 0.807308529185186 3.21572026185163 -2.40640622051769 1.61225785835194 -0.338355809742192 1.42616429823109 -0.567672227281545 -0.533761851352656 -0.680776392200336 1.16648657145156 -1.31044193989329 0.25356610157993 0.189052546809947 2.76276435127262 -0.855501267468895 -0.401252307534704 -0.738250691156794 -0.836816889628268 -1.06129873340101 -0.610413315785077 0.970687054748303 2.49205205436161 0.164028202186449 -0.417555267665 -0.292359788929127 -0.371982765644985 -0.988008413720077 -1.09136603758312 0.385052921395026 2.31240497166587 -0.978706339122078 7.89278184666976 -1.15500583902144 0.0814974736129314 0.447042951967611 -0.321567989230825 -1.00018878450296 1.74243026332319 1.20058141324622 2.51722380024349 -0.573561396569635 1.66887983051739 0.764890016731004 1.67080962900348 1.66946938776765 -1.05133147533704 -1.14559024200128 -0.593098153410013 0.730453570548218 -0.567208311602149 -0.114220282561648 -1.53589664569095 0 2 "sample_D"
"6" -1.57312111942292 -1.75761814864722 -2.9753858806928 -0.155930273607943 0.663649083409556 4.48261873108505 2.23658381574995 8.35004473946901 2.61366406300233 14.6966644718765 -2.60596364481997 0.0071745115094913 0.656836817711848 3.97682023809185 -2.02070643743477 2.4561188365169 -1.83378427393447 2.30140737910951 0.997062036607666 4.49901841819725 0.671195794567528 2.37106755393992 0.204437016580026 3.71774050872426 0.773280938171844 5.11741361763514 0.995859972345779 0.167296142900848 0.330970258570137 -0.000265650438902533 0.69229855730581 4.40023466258155 -2.36528110860462 2.04436198139017 -0.346459631868457 1.82035388192338 -0.402490243111838 -0.72967719295776 -0.743744166667028 1.43948301677181 -1.0024592372832 -0.191529618278687 0.248256635175183 2.57199019903624 -0.661406323930195 -0.398009888264238 -0.431265073591208 -0.607665530157907 -0.527251003189059 -0.170145129888006 1.06633890340791 0.529850666546245 0.406284449801651 -0.117169050037949 -0.244052145166438 -0.402586299706388 -0.875931029253109 -0.736594946256129 0.292307535271655 1.96968101331104 -0.933040083668377 6.24902483371013 -1.18977100288659 0.510297647345186 0.489647090040127 -0.986935780964298 -2.64492783729761 -0.845608079216765 2.45696667217015 1.10650363856899 -2.86333688604951 -0.782170608461746 -0.572143964580304 -0.748378878155215 1.76260924230742 2.00779113090413 1.8742389646694 2.85852222424445 1.1406430416048 1.49180016688038 2.16560015812223 -1.21147625329873 0 5 "sample_D"
"7" -1.53830194930483 -1.75761814864722 -2.95060755267769 -0.102963475360289 0.47048827203955 4.71515671311509 2.26047112377858 10.939574663975 2.47798915381585 15.1461753762997 -2.72841740051493 0.167317195514488 0.506619242381068 3.87034087442621 -1.84708595256318 3.58825134075882 -1.67436593575299 3.33403495541976 0.450703594830419 2.62280152964981 0.968831410316261 4.00481293533308 0.410177419205327 5.44555807008805 0.93998536916803 7.06275970336256 0.983616522663516 0.202142921951386 0.517685325917554 -0.0767225406038637 0.717158882616707 5.7841656390819 -2.83177476684532 2.32488772245732 -0.328036668415018 2.34200730159598 -0.252138863450696 -0.761391405483951 -0.813230399140694 1.52297547586638 -0.631925730512408 -0.281708005013123 0.335079810703148 2.65435144274024 -0.481744689901158 -0.27184224198313 -0.0152995778369996 0.17977925487751 0.0827504316662953 0.625857643576489 1.28109409041967 -0.28012235798226 0.516705800830126 0.205615721197892 -0.256109252653216 -0.398362007761714 -0.763344379832665 0.468741530588422 0.177304655709029 2.15171216926655 -0.873435502877012 4.92571836451508 -1.17678655562439 0.873491648626651 0.558710615766335 -0.988795637674066 -1.69611280199812 -1.49256381307216 0.586855482428773 -0.0275267767811845 -1.27642078452501 -1.17934025338226 -1.07314301726555 -1.21642572011228 0.16224563403653 1.92319950759496 1.76907731592798 2.67834999659771 1.11979366880689 1.33624857347953 1.77554853191683 -0.887055860906515 0 6 "sample_D"
"8" -1.50348277918673 -1.75761814864722 -2.93072467994795 -0.0582454348220321 0.268617901207576 4.73769418369489 2.35673539490909 12.6458674859685 2.32953140771678 15.2719891566184 -2.88379108766755 0.307592358872202 0.343215512391508 3.71261189999798 -1.418304620034 4.5230893755639 -1.32775207838704 4.23448248576304 -0.288020355992125 1.53334666969444 1.34087755831123 5.22070111814655 0.691629412775661 6.56766498181403 1.2337880874879 8.33070206467781 0.969553672834255 0.21277780871006 0.742984857456409 -0.0781086076540278 0.896776327600223 6.57727727139058 -3.69293395717126 2.24978883441668 -0.285885981953583 2.98495369627724 -0.229976168236832 -0.870432873428501 -0.861944426671744 1.28725809224217 -0.395601860805401 -0.225188605312498 0.406474491923288 2.73425657214653 -0.473625112319729 -0.177692270876878 0.166839779046606 1.0234710660797 0.316134969272194 1.07172072899475 1.39409579018199 -0.275096032863099 0.42391033695184 0.201926282470801 -0.368703882599798 -0.441520851644811 -0.806019466242905 1.51136089312916 0.135487923117425 2.75341047245344 -0.800028670381125 3.88949206247765 -1.23271080704622 0.911389874745531 0.574547532224492 -0.613179918389106 -1.65038325983065 -0.749887903969015 1.08501677823476 0.751585824439911 -1.70952560049892 -0.6885527884678 0.332248286556784 -0.0642967760416518 -1.3842338918207 1.34195475702049 1.12248302017057 1.80411765795201 0.81753272881444 0.756277266076854 1.08788238239901 -1.04926605710262 0 5 "sample_D"
"9" -1.46866360906864 -1.75761814864722 -2.92580868063599 -0.038960632865346 0.102733098213896 4.52310288381611 2.49815932298629 12.9584210942247 2.19036874355789 14.9363900884618 -3.020178456795 0.367166341415143 0.207691427665422 3.49952742867118 -0.884035785945878 4.83372898562115 -0.914102331522126 4.52414904220125 -1.03271747577471 1.01891614530255 1.68655757267385 5.61211075954209 0.967380624009824 6.74165534013942 1.56860736294755 8.52251627660429 0.947327841411129 0.188463458279323 0.954114370907279 -0.0734130007612133 1.17144410218233 6.56205319642513 -4.69878303599941 1.84684963269668 -0.198760101038746 3.82507828498855 -0.404866916709799 -1.13427270819217 -0.876670020709388 1.0833533685585 -0.279436181753251 -0.237799196702662 0.498649678974373 2.32104732849447 -0.684390773729621 -0.216520729810304 -0.121928570071907 0.841933525942937 -0.0712612186386666 0.490018299027213 1.47151087017034 -0.0216148328353959 0.184349994467123 -0.07177026275185 -0.566249327745188 -0.382060992716296 -1.08754159703859 1.16005333189833 0.152295533221069 3.63111931337929 -0.714266243171916 3.02626865139011 -1.30932474769033 0.628657589415015 0.514510799635488 -0.236504859277044 -0.977332302508617 0.404222633157091 1.23461360526087 1.25148497816631 -1.02702416916383 0.0736384135457474 0.172687069404156 -0.00147770028461294 -1.44267180399327 1.40197689382095 1.23456762373197 1.99814152593797 0.9273744242008 0.956412780030297 1.44290565292984 -0.724845664710407 0 8 "sample_D"
"10" -1.43384443895054 -1.75761814864722 -2.94570883796774 -0.0217531535493898 0.00986783401914712 4.21440013041954 2.64141230063963 12.1806300745155 2.07750520568447 14.2437190170678 -3.08182034792044 0.324610841288636 0.139597397981645 3.28185356835948 -0.477326539452254 4.6691637054011 -0.623152534010374 4.30432715754269 -1.58539368411128 0.781434875867947 1.89443911993201 5.45825843069141 1.13339958754141 6.33653373538117 1.81388188403865 8.06108266312637 0.914235977989527 0.146404391912719 1.09874331359675 -0.0771796255768501 1.44335316968449 6.10429277797411 -5.55479726366091 1.33765130810885 -0.083190312081402 4.72660553879568 -0.725168964388458 -1.18537805235378 -0.846305202867879 1.11830045037271 -0.338373303176191 -0.210226904751152 0.608855560954151 1.3410299509704 -1.07611139898153 -0.314418480674568 -0.892216484388937 -0.17744095888701 -0.961397698434381 -0.474344251225305 1.48616401794631 0.421019176955034 0.101057671078528 -0.0938875423760345 -0.446891540586951 -0.31551297567184 -1.47470944318095 -1.52308822932755 0.204658869554845 4.61969713111499 -0.652938433442845 2.5064126121577 -1.44017468875665 0.437107836650646 0.516811467523263 0.485161665332705 -2.06407742010866 1.28305797492145 2.1680550846415 1.97830399892085 -1.93071299976133 1.11529418867115 1.44303731722671 1.19910861234533 -2.36504574650501 -0.590877481883966 -0.905769705239913 -0.150416930153873 -0.34713321599135 -0.654392369286189 0.334268374541397 -1.21147625329873 0 4 "sample_D"
"11" -1.39902526883245 -1.75761814864722 -2.9912743857536 0.0325134238216813 0.00926357486461669 3.98942479561751 2.7456322685812 10.9376755183974 2.00070023002883 13.3697752383839 -3.03152823704974 0.206675251430219 0.163399019899133 3.10206331019691 -0.395534624563531 4.56168962475188 -0.614730261910615 4.13507495058445 -1.81198127859147 0.613962884563048 1.88615586110648 5.27032629771393 1.11045086907118 5.92888704390096 1.85949518572397 7.64909983852954 0.869627662889273 0.108354457215817 1.14255456677804 -0.0798963532474287 1.62289257650357 5.69177189382951 -6.02594765002464 0.942717865876314 0.0519424287895711 5.2609737805207 -0.9692638858908 -1.17176717032045 -0.757880911545789 1.65812828434912 -0.461041920270298 0.0762854005519687 0.72390460153534 0.35843739040198 -1.22676240077173 -0.409082251301076 -1.15716387930156 -0.588177366907732 -0.661857675158445 -0.0242771879014429 1.58060660002565 1.19781312019057 0.439801249702076 -0.0564646575610756 0.00227396275151734 -0.589645438609603 -1.06651126319082 -0.265609431697961 0.261602266915159 5.51316272960904 -0.651967722601707 2.64163998407588 -1.51882027691791 -0.312434145219382 0.710103044598781 0.81420316378794 -0.906367124884533 1.05472602640065 1.34123573875359 1.76481428279372 -1.03636546625912 0.74138077313768 -0.422287261748262 -0.114029596524937 -0.281787640256063 0.81710693788498 0.620887269235682 1.26840539517518 1.02784595749441 0.817021602999524 1.25476099692802 -0.238215076122081 0 10 "sample_D"
"14" -1.29456775847817 -1.75761814864722 -3.11488445030795 0.770614613252818 0.366458901568231 3.8423281515675 2.74346136419629 7.18778409199797 1.93789881003374 10.0129984665543 -2.44419158924087 -0.137210001491703 0.607233473101509 2.67479087709878 -1.66679923985698 3.67446857299758 -1.79065206551832 3.14708675842979 -0.981084661867088 0.0760967737116322 0.798327406881936 5.84010630330906 0.118794220860821 5.89836620652318 0.939778281363974 6.92223991579161 0.639461155574432 0.0650270092772899 0.764980344437864 -0.0662971584861983 1.42925987234516 5.62115343318663 -4.81804401041165 1.06153810309677 0.565117164044147 2.96158575123893 -0.498971817405127 -1.23347879376786 -0.305726721560184 2.28160488229998 -0.961094598534044 0.517094114421624 1.07022109220395 0.917353692962228 -0.364278418786782 -0.350918817750789 0.126335227431323 -0.00773935651977013 0.193862860140343 0.656996703924845 1.74851703862979 1.23236275814994 1.64301573062691 0.26584732489844 0.787243217345056 -0.557643506214413 -0.191267369703115 -0.922309649657535 0.742235779188228 4.5874739199829 -0.388998932034719 4.84460888545125 -1.23782658643987 -0.52616893159252 1.8491988893164 0.766454048459784 -5.57318227498986 -1.65163493395993 5.33911318898559 1.72091260655197 -5.77602862298952 -0.556959333228336 -1.02565435785072 -1.27992463248822 -2.18312967356394 2.07820952548959 2.1300709882397 2.39529034451586 2.00102076026797 2.00111669778243 1.55417600106188 -1.69810684188706 0 1 "sample_D"
"15" -1.25974858836007 -1.75761814864722 -3.05469023734829 1.25058752161151 0.457908201288084 3.84831668378149 2.67223203435868 5.98702209329223 1.90558542318135 8.59990138466115 -2.28525190222349 -0.146212063326076 0.720939502454256 2.47424483248665 -2.04774026374014 3.21082604420271 -2.08403631506425 2.7057652835194 -0.69732364190086 -0.024484323862289 0.396716930656796 6.01054557045634 -0.220274192824661 5.91607721957531 0.585362395134399 6.50374708978167 0.542895999214225 0.0609386377457805 0.598869033779771 -0.059440110349005 1.23827653935249 5.64630874121159 -3.9084475107095 1.47984491474035 0.77970538211279 2.00147032739765 -0.525161284645539 -0.61485356781471 -0.128313080069419 1.62659956233026 -1.04188654748419 -0.0254943349461562 1.16872489771508 1.58445236589701 -0.406721940876996 -0.358309566772368 -0.163026996306129 -0.385360323964739 -0.556590172513942 -0.310057905744435 1.57305282778553 0.957007895299969 1.47467567271823 -0.276943382432007 0.519393525600585 -0.67842402006672 -0.273056015657712 0.134849381894146 0.791280570315504 3.70206097532017 -0.193611757199748 5.38565273125851 -1.1470441249679 0.0531695661954361 2.13056389878231 2.06520726726165 -1.67620545979465 0.852227655874446 1.99092476609715 1.70954524286655 -1.64203048372285 0.722052530687635 1.28643653657079 1.06195268877822 -0.118231330051636 0.249702618113894 0.0483167033708581 0.68047735452484 -0.108650723673066 -0.0731171174507978 0.584632175573143 -0.724845664710407 0 7 "sample_D"
